Дата	Игра	Просм	URL	Название	Preview
15.01.2017 17:57:03	Counter-Strike: Global Offensive	43	https://clips.twitch.tv/UninterestedOutstandingAlpacaPanicVis	12 дней  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24246981088-offset-8728-preview-480x272.jpg
06.03.2017 18:14:33	Talk Shows	42	https://clips.twitch.tv/StupidSpicyBatKeyboardCat	❤️ самая простывшая на твиче ˁ˚ᴥ˚ˀ 	https://clips-media-assets2.twitch.tv/24713263456-offset-1264-preview-480x272.jpg
12.01.2017 20:57:43	Social Eating	42	https://clips.twitch.tv/AbnegateBloodyJuiceLitty	14 дней  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24217823312-offset-11708-preview-480x272.jpg
05.02.2017 18:42:22	The Sims 4	41	https://clips.twitch.tv/AuspiciousRudeWormFloof	Самая тамблер на твичеˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24441394672-offset-21470-preview-480x272.jpg
05.12.2016 15:14:52	Dota 2	41	https://clips.twitch.tv/SlipperyEntertainingFishCmonBruh	Болею ○ Сигна за саб	https://clips-media-assets2.twitch.tv/23848563232-offset-354-preview-480x272.jpg
28.12.2016 17:30:45	Dota 2	40	https://clips.twitch.tv/WrongStrangeTurnipRlyTho	ˁ˚ᴥ˚ˀ	https://clips-media-assets2.twitch.tv/24061334096-offset-1486-preview-480x272.jpg
09.03.2017 13:12:42	Creative	39	https://clips.twitch.tv/PatientEvilGrasshopperTakeNRG	❤️ Н Е У Д А Ч Н И Ц А ˁ˚ᴥ˚ˀ 	https://clips-media-assets2.twitch.tv/24737754976-offset-764-preview-480x272.jpg
09.02.2017 22:59:31	Dota 2	39	https://clips.twitch.tv/LaconicApatheticPuddingTinyFace	#nomakeup ˁ˚ᴥ˚ˀ	https://clips-media-assets2.twitch.tv/24479954672-offset-2210-preview-480x272.jpg
15.03.2017 12:52:14	Dead by Daylight	38	https://clips.twitch.tv/EncouragingTawdryTroutPermaSmug	❤️ ЛЮБОВЬ	https://clips-media-assets2.twitch.tv/24793784656-offset-1124-preview-480x272.jpg
30.01.2017 07:55:02	Counter-Strike: Global Offensive	38	https://clips.twitch.tv/ProductiveSecretiveDragonGingerPower	Чавк	https://clips-media-assets2.twitch.tv/vod-118268163-offset-3088-preview-480x272.jpg
29.01.2017 22:39:32	The Sims 4	38	https://clips.twitch.tv/TardyRelentlessCoyoteKevinTurtle	кто простыл тот я ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24377684544-offset-18366-preview-480x272.jpg
12.02.2017 15:45:34	Dota 2	35	https://clips.twitch.tv/SweetAnnoyingOstrichPicoMause	1-10 (slow) 10-50 (medium)  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24508240224-offset-808-preview-480x272.jpg
20.03.2017 16:24:15	Dota 2	34	https://clips.twitch.tv/InnocentDelightfulRhinocerosPartyTime	почему так холодно? ❤️	https://clips-media-assets2.twitch.tv/24838666304-offset-9968-preview-480x272.jpg
19.03.2017 22:55:41	Ben and Ed	33	https://clips.twitch.tv/TallSmoggyRadishDoubleRainbow	❤️ самая красивая на твиче	https://clips-media-assets2.twitch.tv/-935379632-offset-3624-preview-480x272.jpg
22.03.2017 21:26:31	Dota 2	32	https://clips.twitch.tv/CourageousSquareJuicePanicVis	❤️	https://clips-media-assets2.twitch.tv/24857235040-offset-5554-preview-480x272.jpg
16.01.2017 19:42:52	Talk Shows	30	https://clips.twitch.tv/IronicDoubtfulFrogBatChest	10 дней  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24256630672-offset-5278-preview-480x272.jpg
01.03.2017 17:30:30	Dead Space 3	27	https://clips.twitch.tv/SillyHardAirGuitarWTRuck	❤️ самая красивая на твиче ˁ˚ᴥ˚ˀ 	https://clips-media-assets2.twitch.tv/24663071840-offset-17402-preview-480x272.jpg
15.01.2017 21:58:16	Harry Potter and the Philosopher's Stone	26	https://clips.twitch.tv/GenerousKathishSquidNinjaGrumpy	Путин	https://clips-media-assets2.twitch.tv/24246981088-offset-23196-preview-480x272.jpg
